order_id,order_date,origin_country,destination_country,carrier,warehouse,product_category,weight_kg,shipping_cost_usd,cod_amount_usd,status,delivery_date,sla_days_target,fail_reason
APG101174,19/08/2025,china,Kuwait,FastCourier,AMM-WH1,Home & Garden,0.23,-15.0,0.0,returned,2025-08-27 00:47,2,Refused by Customer
APG100871,01/03/2025,UAE,Kuwait,SMSA,IST-WH1,  Electronics  ,1.57,6.66,0.0,Returned ,2025-03-07,4,
APG101157,03-14-2025,UK,Kuwait,Local Fleet ,AMM-WH1,Electronics,4.12,23.35,0.0,DELIVERED,20/03/2025,10,
APG100140,03-19-2025,Turkey,Saudi Arabia,Local Fleet ,IST-WH1,Books,0.85,6.66,0.0,Cancelled,2025-03-23 14:23,7,
APG100032,05-20-2025,Germany,Saudi Arabia,FastCourier,AMM-WH2,Toys,0.32,2.45,0.0,DELIVERED,24/05/2025,10,
APG100858,26/01/2025,Turkey,Egypt,SMSA,DXB-WH1,Home & Garden,0.47,3.06,0.0,returned,2025-02-05 07:07,7,Damaged Package
APG100384,04/02/2025,Turkey,UAE,SMSA,IST-WH1,Beauty,0.14,2.75,0.0,DELIVERED,2025-02-08,7,
APG100508,2025-04-06 01:00,UAE,Jordan,Aramex,AMM-WH1,Beauty,2.14,15.95,0.0,delivered,2025-04-12,4,
APG100768,13/07/2025,Turkey,Jordan,SMSA,AMM-WH2,Beauty,0.8,5.73,0.0,DELIVERED,2025-07-19,7,
APG100783,03-26-2025,UAE,Iraq,DHL,AMM-WH1,Toys,1.16,10.24,0.0,delivered,2025-04-01 15:51,4,
APG100688,17/04/2025,UAE,Kuwait,SMSA,DXB-WH1,Home & Garden,1.65,8.38,99.38,returned,2025-04-23,4,Damaged Package
APG101094,2025-05-23 11:00,UAE,Iraq,Local Fleet,IST-WH1,Electronics,0.84,6.29,61.0,Returned,2025-05-26 23:58,4,
APG100388,2025-06-19,UK,Jordan,aramex,AMM-WH2,Toys,1.24,6.75,0.0,delivered,2025-06-24,10,
APG101000,2025-01-14,UK,Kuwait,SMSA,IST-WH1,Sports,1.19,6.73,0.0,FAILED_DELIVERY,2025-01-24,10,Damaged Package
APG100204,2025-08-11 10:00,Jordan,Saudi Arabia,Aramex,AMM-WH2,Fashion,3.61,22.65,249.9,Canceled,2025-08-19 05:05,2,
APG101047,2025-07-19 20:00,UK,Saudi Arabia,FastCourier,DXB-WH1,Toys,1.76,8.36,0.0,Delivered,2025-07-25 09:55,10,
APG101071,2025-08-15 19:00,UK,Jordan,Local Fleet ,DXB-WH1,Books,,10.0,144.52,cancelled,24/08/2025,10,
APG100708,2025-05-28 01:00,UK,Egypt,aramex,AMM-WH1,Beauty,0.98,7.61,0.0,delivered,2025-05-31 16:55,10,
APG100720,06-15-2025,Germany,Saudi Arabia,Aramex,AMM-WH2,Electronics,0.58,6.87,178.79,Deliverd,2025-06-20 15:22,10,
APG100075,04-27-2025,UK,Jordan,Local Fleet,AMM-WH1,  Home & Garden  ,1.46,11.22,0.0,DELIVERED,2025-05-01 09:55,10,
APG100146,2025-07-24,Turkey,Jordan,SMSA,IST-WH1,Sports,4.17,26.03,243.69,Deliverd,30/07/2025,7,
APG100229,2025-02-05,Germany,Kuwait,,AMM-WH2,,,,27.75,DELIVERED,2025-02-11,10,
APG101138,07-03-2025,UAE,Iraq,Aramex,DXB-WH1,Toys,0.15,2.03,0.0,delivered,10/07/2025,4,
APG100574,2025-06-21 09:00,China,Kuwait,Local Fleet ,AMM-WH1,Beauty,0.1,3.45,43.27,delivered,27/06/2025,9,
APG100951,2025-08-23,UK,Jordan,Local Fleet,IST-WH1,  Beauty  ,0.51,5.88,0.0,delivered,2025-08-26 23:47,10,
APG100970,2025-05-02 11:00,UAE,Jordan,aramex,IST-WH1,Sports,0.61,7.29,0.0,delivered,2025-05-07,4,
APG100847,02/01/2025,China,Kuwait,DHL,IST-WH1,Beauty,0.33,3.72,0.0,DELIVERED,2025-01-03 20:22,9,
APG101002,05/03/2025,China,Iraq,SMSA,DXB-WH1,Fashion,3.86,12.64,0.0,Failed Delivery,2025-03-12 15:32,9,Warehouse Delay
